x,y
"painful huge reversal fee income , unheard private sector lender . essentially , mean ORG ORG take grant fee structure loan deal pay account upfront book . borrower turn defaulter , fee tie loan deal fall crack . PERSON vow shift safe accounting practice amortize fee income book upfront . PERSON � s mend past way mean nasty surprise future . good news consider investor love clean image loathe uncertainty . gain pain promise strong stable balance sheet come sacrifice . investor hope phenomenal growth , promise PERSON .",3
"formidable opposition alliance ORG , ORG ORG ORG ( ORG ) ORG ORG ORG ( prajatantrik ) ?",0
"NORP currency trade low DATE . NORP NORP won PERCENT PERCENT , GPE renminbi PERCENT PERCENT , GPE offshore PERCENT PERCENT , NORP ringgit PERCENT PERCENT , NORP rupiah PERCENT PERCENT , GPE dollar PERCENT PERCENT . , NORP yen PERCENT PERCENT . dollar index , measure currency � s strength major currency , trade CARDINAL , PERCENT PERCENT previous close CARDINAL .",3
"want answer question , click � answer � . click answer check reply user . proceed answer writing voice command . want ask question , click � WORK_OF_ART WORK_OF_ART "" . question prefix insert help question . submit question , app send question neighbour let know neighbour ask question . click . click bell icon homepage app follow answer question .",1
"global market , gold price edge DATE disappointing NORP factory activity datum bring concern health global economy , dent risk appetite . spot gold rise PERCENT PERCENT $ MONEY ounce . NORP equity market nudge DATE , follow weak NORP stock market .",3
"GPE : NORP tech giant ORG announce plan release - generation smartphone base technology instead component , step effort compete directly western industry leader . DATE announcement come ORG ORG ORG , world big maker network gear phone company , combat warning company security risk .",1
"GPE : ORG ORG external commercial borrowing ( ecbs ) fall PERCENT PERCENT MONEY MONEY MONEY DATE DATE compare DATE DATE DATE DATE , datum ORG ORG ORG ( ORG ) show . domestic firm raise MONEY MONEY MONEY overseas source DATE DATE . total borrowing DATE , MONEY MONEY MONEY raise automatic route external commercial borrowing ( ecbs ) . remain MONEY MONEY MONEY take approval route , accord ORG datum ORG DATE DATE .",3
"DATE , ORG ORG chairman PERSON PERSON say interest rate hold � time "" global risk weigh economic outlook inflation remain muted . DATE DATE DATE gilt yield trade PERCENT PERCENT DATE close PERCENT PERCENT . bond yield price opposite direction .",3
"audience ? WORK_OF_ART WORK_OF_ART WORK_OF_ART WORK_OF_ART WORK_OF_ART WORK_OF_ART WORK_OF_ART think kind people � good bad , interchange situation",2
"com , PERSON PERSON speak get WORK_OF_ART PERSON perfectly slip character , DATE DATE WORK_OF_ART WORK_OF_ART PERSON shoot song GPE PERSON surprised see brother set",2
"� think development testing process � ve uncover flaw , proceed market , "" say PERSON PERSON , vice president device research consultancy ORG . � clearly � t afford embarrassing note 7 - like incident , lest build reputation release unreliable product . "" note 7 episode trigger global recall , cost company MONEY MONEY mar reputation battle ORG ORG premium device . pull fold let NORP giant address potential issue race flexible gadget ahead NORP rival ORG ORG ORG ORG ORG ORG spokeswoman decline comment story . share company , hasn � t set date commercial launch , little change GPE DATE . ORG bounce PRODUCT PRODUCT � remain world � s large producer smartphone memory chip . count fold device extend lead mobile kick - start stagnate global market . unveil DATE DATE DATE version flagship PRODUCT PRODUCT phone , PRODUCT underscore ORG � s ambition like product make . struggle ward hard - charge rival , GPE , GPE GPE - base giant hope gadget embody lead cutting - edge innovation .",1
"far DATE , rupee gain PERCENT PERCENT , foreign investor buy MONEY MONEY MONEY equity MONEY MONEY MONEY debt market . GPE benchmark index sensex rise PERCENT PERCENT CARDINAL point pre - open trade . DATE DATE , PERCENT PERCENT .",3
"ORG , , see presence ORG rural market growth enabler eventually expect user upgrade smartphone . local entrepreneur apply open ORG � s ORG ORG responsible physical infrastructure real estate , ORG look branding store . company decline detail .",1
"ad read "" bell & whistle . bezel . notch . app lag . bloatware . $ MONEY price tag . random music . well phone . "" ad contain sketch smartphone show triple camera setup , pop - face camera mechanism copper heat pipe well cooling . sketch show sim card slot move smartphone left . design smartphone line previous case render . wired magazine get hand production - ready prototype PRODUCT PRODUCT PRODUCT post camera sample device EVENT EVENT EVENT hold GPE .",1
"DATE , PERSON say healthy economy face � cros - current conflicting signal "" official DATE decide warrant take patient approach future interest - rate change . public sector bank trade higher ORG ORG ORG ( ORG ) remove ORG ORG , ORG ORG ORG ORG prompt corrective action ( pca ) framework , subject certain condition continuous monitoring . ORG ORG rise PERCENT PERCENT , ORG ORG PERCENT PERCENT ORG ORG PERCENT PERCENT .",3
"feature help display responsive - turn significantly gaming ui experience . consume battery , expect feature toggle switch setting , like present ORG PRODUCT PRODUCT ORG ORG ORG .",1
"PRODUCT , popular child , face criticism different quarter circulation "" pornographic content "" exist user PRODUCT , app instal smartphone , share seeker app like PRODUCT GPE GPE : CARDINAL people GPE PRODUCT have option share app , block access ORG ORG ORG ORG ORG ORG desire result , expert . tiktok , popular child , face criticism different quarter circulation "" pornographic content "" . ORG ORG block download NORP short video - share app , follow request government .",1
"company hive rating business wholly - own subsidiary slump sale abide rule capital market regulator ORG ORG ORG ORG ( ORG ) , ORG say press release . notwithstanding PERCENT PERCENT rise beginning month , stock hasn � t notch gain DATE DATE far , reflect research business � s drag overall earning . hive - , rating business likely continue driver valuation . PERCENT PERCENT gain far DATE , ORG stock trade CARDINAL time DATE DATE forward earning .",3
"choose hide cp colleague , mother � s house form sexual relation time , episode � oh � s right , dare find happiness , � mother offer � cp � explanation , PERSON soldier � ? people cp as@!***s � WORK_OF_ART pack pop culture reference � reference WORK_OF_ART WORK_OF_ART , PERSON PERSON",2
"� s right , opera house . simply go ORG try aim new PRODUCT specific type audience � artist . ORG aware fact PRODUCT sale slump . measure ship sail , ORG promote high - end PRODUCT PRODUCT ideal artist , photographer creator . � s perfect setting , people eagerly wait refresh , update come DATE DATE DATE DATE . � s change anticipate . ORG drastically increase price PRODUCT DATE , love investor . iphone sale stagnate , high price manage increase revenue . reference , PRODUCT PRODUCT PRODUCT time launch price ? MONEY . iphone xs start ? MONEY .",1
"ORG say eligible creator able money video ad breaks . photo : ORG ORG launch PRODUCT , video rival ORG , internationally expand financial incentive encourage people share content ORG watchfacebook watch video serviceyoutubefidji simoentertainmentsport contenttechnology",1
"star PERSON PERSON , PERSON PERSON , PERSON PERSON , PERSON PERSON PERSON , PERSON PERSON PERSON PERSON , WORK_OF_ART get big opening DATE release DATE maker want DATE DATE competition sight , look like film splendid time box office tweet , � # WORK_OF_ART start bang � emerge big opener DATE * far * � PERSON terrific � impressive cast hype + massive screen count [ CARDINAL ] + # mahavirjayanti holiday contribute big total � DATE DATE DATE",2
"ORG ORG bar misuse - call dark fibre issue appeal ORG direction . regulator , separate order , bar ORG DATE security market , ask disgorge MONEY MONEY MONEY profit ORG co - location service DATE DATE include interest",3
"fintech startup ORG , co - found PERSON PERSON PERSON PERSON aim digitise employee benefit fintech startup ORG , co - found PERSON PERSON PERSON PERSON aim digitise employee benefit , cafeteria solution , reward recognition solution offer cloud - base enterprise benefit suite call PRODUCT tax benefit . package include payment solution .",1
story publish wire agency feed modification text . headline change,0
"globally establish company ORG ORG footprint GPE partnership alliance , note - cite ORG note . major company active NORP 3d - printing market space ORG ORG , ORG , ORG ORG , ORG ORG ORG . sit ORG ORG ORG s magic bench , elephant hand glow orb . , tiny donkey saunter kick bench . similarly , scientist ORG ORG ORG ORG PRODUCT explore complex biological network 3 - d , create tool help find critical link protein gene relate disorder like cancer diabetes . example highlight melding technology like augment reality ( ar ) virtual reality ( vr ) real world user business world - call � mix "" reality ( mr ) � blend "" reality concept . vr world create solely computer online , ar deal real world element virtual world build atop , akin layer information . mr mix reality ( vr ar ) bid capture good world . , mix reality gain traction , need headset mix reality content . regardless , investor believe mix reality potential big computing platform . consider . see PRODUCT PRODUCT goggle . , company manage raise investment MONEY MONEY MONEY , notably ORG , ORG ORG , ORG ORG ORG ORG ORG . month , , mix reality headset maker ORG ORG finally announce PRODUCT PRODUCT PRODUCT PRODUCT available $ MONEY . major player global mr market include ORG ORG , ORG ORG ORG , ORG ORG , ORG ORG . , ORG ORG ORG , ORG ORG , ORG ORG ORG ORG , ORG ORG , ORG ORG GPE , start - up like ORG ORG ORG , , increasingly bet mr . research firm ORG ORG predict DATE , ar , vr mr solution evaluate adopt PERCENT PERCENT large - enterprise business . global mr market size expect reach MONEY MONEY MONEY DATE , accord research firm reportbuyer.com . believe rapid growth come increase demand innovative wearable product . aerospace defence sector , say , use PRODUCT product training programme . technology effectively school provide 3 - d image , lead interactive learning experience , accord report . mint - india - wire long - read technologyfuture technologyartificial intelligenceblockchaininternet things3d printingmixed realityaugmented realityvirtual reality",1
"statement PERSON say air strike benefit ORG ORG ORG ( ORG ) bag CARDINAL parliamentary seat GPE , replenish GPE arsenal attack twist intent GPE carry air strike target terrorist training camp ORG ORG ORG ORG ORG ( ORG ) . � statement report context . say � situation favourable ORG � say DATE DATE . time say ORG GPE win minimum CARDINAL seat able leadership PERSON ji , "" PERSON write twitter try control damage statement DATE cause . � take DATE reveal political game send nuclear armed nation escalate tension situation . � s CARDINAL seat . day age , agenda remain hide . note GPE # saynotowar ! "" , ORG ORG ORG ORG ORG ORG ( ORG ) , rule party neighbour country write twitter , add hashtag � # letbettersenseprevail "" .",0
"ORG seek - election , agriculture form important poll narrative ORG bank ORG - kisan scheme ORG promise rural GPE vote largely determine fate political party general election , polling begin DATE DATE . focus rural GPE election boil simple arithmetic � CARDINAL CARDINAL parliamentary constituency GPE urban , CARDINAL seat rural ( CARDINAL semi - urban ) , accord number base ORG DATE classification . constituency mark � urban � PERCENT PERCENT constituent live urban area . importance fact isn � t lose ORG ORG ORG ( ORG ) win CARDINAL CARDINAL rural seat DATE , CARDINAL DATE election . ORG � s caution stem fiasco DATE , � india shining � campaign backfire , spell loss . ORG - lead ORG ORG ORG ( ORG ) , come power DATE historic mandate , seek - election ORG - lead opposition party bid form alliance key state . give stake , agriculture form important narrative general election , hold CARDINAL phase polling end DATE DATE DATE DATE , issue plague rural GPE remain constant . soon prime minister PERSON PERSON assume power DATE , large swathe GPE come grip drought last DATE DATE DATE . cripple drought give way DATE DATE normal monsoon ( DATE DATE DATE ) , lead record harvest grain horticulture crop result sharp plunge crop price . PERSON government set ambitious target double farmer � income DATE ( DATE DATE DATE DATE DATE ) reality farm revenue collapse consistent fall crop price . DATE , wholesale food price rise PERCENT PERCENT ( year - - DATE ) negative territory DATE DATE DATE DATE .",0
PERSON say ORG air strike benefit ORG bag CARDINAL parliamentary seat GPE PERSON unthoughtful remark help GPE play gallery victim insinuate parliamentary poll reason GPE � s action GPE : bjp leader GPE chief minister b.s.yeddyurappa DATE find make international headline controversial comment link DATE � s air strike GPE terror camp border upcoming ORG ORG election splash GPE news channel online platform .,0
"� release DATE far , WORK_OF_ART WORK_OF_ART WORK_OF_ART , actor look forward WORK_OF_ART WORK_OF_ART PERSON PERSON PERSON PERSON PERSON bollywood debut ORG ORG star film like WORK_OF_ART WORK_OF_ART WORK_OF_ART , WORK_OF_ART WORK_OF_ART WORK_OF_ART WORK_OF_ART excerpt conversationwhile people talk performance WORK_OF_ART , feel reason less project come way?i don � t know",2
"� iphone ipad , open settings app , tap general tap software update . , download new ios version , expect call 12.1.4 . update ready , choose install . precaution , sure iphone ipad plug power source instal update . � mac , open app store app . click updates tab , click update macos mojave . ( old version mac operating system , option need download update . ) download finish , sure power cable plug restart computer .",1
"film belong ORG � WORK_OF_ART WORK_OF_ART WORK_OF_ART , WORK_OF_ART WORK_OF_ART WORK_OF_ART WORK_OF_ART , WORK_OF_ART , WORK_OF_ART WORK_OF_ART WORK_OF_ART WORK_OF_ART WORK_OF_ART WORK_OF_ART MONEY MONEY MONEY ) occupy slot highest - gross movie time worldwide list , rest film follow suit WORK_OF_ART ( CARDINAL",2
"new preview build allow insider incoming phone notification real - time , customise notification clear notification individually . "" boost focus productivity see phone notification pc . control manage app want receive notification . dismiss notification device go away , "" company write blog - post .",1
"CARDINAL CARDINAL CARDINAL CARDINAL massive PERSON cutout , CARDINAL giant lcd screen , CARDINAL party flag dot ground GPE people throng city TIME , TIME PERSON arrive . CARDINAL people wear PERSON mask , saffron cap , neck band say � GPE "" gather roadside rally ground glimpse prime minister . CARDINAL people gather welcome PERSON , accord initial police estimate , reach rally ground QUANTITY QUANTITY roadshow GPE . rally see aggressive campaign ORG strengthen vote base coastal GPE , vote phase election . ORG manage win seat GPE DATE ORG ORG poll party hope DATE election change electoral fortune state , rule ORG ORG ORG ( ORG ) lead chief minister PERSON PERSON .",0
new device expect shareholder reverse disappointing sale lead ORG cut sale outlook time DATE low - - anticipate demand GPE appleiphoneiphone xiiphone triple cameraiphone 2019tim cookapple GPE baniphone GPE banapple ORG lawsuitapple loss,1
"CARDINAL ) long position see recede NORP rupee , accord ORG poll . spike oil price weigh rupee , LOC � s well - perform currency DATE DATE . ( ORG input )",3
"CARDINAL ) analyst expect volatility remain high near term . PERSON PERSON , head research derivative ORG ORG , say : "" strong rally see recent past , ORG currently consolidation phase . tech parameter suggest possibility extend consolidation upmove resume . continue believe bias remain positive . "" CARDINAL ) downside , ORG strong support CARDINAL CARDINAL CARDINAL , say PERSON PERSON ORG ORG . "" high expect CARDINAL CARDINAL CARDINAL nifty . banking expect witness profit - booking , "" say . 8) banking share DATE see profit - taking outperform recent rally . index banking stock , ORG ORG , DATE end PERCENT PERCENT low , ORG , ORG ORG , ORG ORG ORG loser .",3
"caller add remove , mute reconnect participant . turn lecture mode allow person speak listen .",1
